Website, HTML
YES, https://registry.elevategreece.gov.gr/company/i-love-dyslexia-english-language-innovation-eli-ike/
YES, https://registry.elevategreece.gov.gr/company/100-mentors-ike/
YES, https://registry.elevategreece.gov.gr/company/12gods-pc/
YES, https://registry.elevategreece.gov.gr/company/27-research/
YES, https://registry.elevategreece.gov.gr/company/33-clouds-ike/
YES, https://registry.elevategreece.gov.gr/company/360-trust-services/
NO, https://registry.elevategreece.gov.gr/company/3dhub-ικε/
NO, https://registry.elevategreece.gov.gr/company/3h-servicesholistic-house-handling-μικε/
NO, https://registry.elevategreece.gov.gr/company/i2d-technologies/
YES, https://registry.elevategreece.gov.gr/company/a-fine-house-sa/
NO, https://registry.elevategreece.gov.gr/company/adwk-adwork/
YES, https://registry.elevategreece.gov.gr/company/a2z-energy-solutions/
YES, https://registry.elevategreece.gov.gr/company/abcured-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/acceligence-hellas-ltd/
NO, https://registry.elevategreece.gov.gr/company/acromove-europe-single-member-pc/
NO, https://registry.elevategreece.gov.gr/company/act4energy-pc--τεχνολογιες-περιβαλλοντος-και-βιοαεριου-ικε/
YES, https://registry.elevategreece.gov.gr/company/admes-μονοπροσωπη-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/advanced-biochemicals-and-consulting-pse/
NO, https://registry.elevategreece.gov.gr/company/advanced-intelligent-robotics-ike/
YES, https://registry.elevategreece.gov.gr/company/advantis-medical-imaging/
YES, https://registry.elevategreece.gov.gr/company/advisable-ike/
YES, https://registry.elevategreece.gov.gr/company/aero-apartion-ike/
YES, https://registry.elevategreece.gov.gr/company/aether-aeronautics-pc/
YES, https://registry.elevategreece.gov.gr/company/agenso--agricultural--environmental-solutions-private-company/
YES, https://registry.elevategreece.gov.gr/company/agritrack/
YES, https://registry.elevategreece.gov.gr/company/agroapps/
YES, https://registry.elevategreece.gov.gr/company/agroknow-ike/
YES, https://registry.elevategreece.gov.gr/company/agromet-idiotiki-kefalaiouchiki-etaireia/
YES, https://registry.elevategreece.gov.gr/company/ai-and-me/
YES, https://registry.elevategreece.gov.gr/company/aidplex-μike/
YES, https://registry.elevategreece.gov.gr/company/airstay-pc/
YES, https://registry.elevategreece.gov.gr/company/aisthesis-medical/
NO, https://registry.elevategreece.gov.gr/company/akronic--akron-integrated-circuits-pc/
NO, https://registry.elevategreece.gov.gr/company/aku-smpc/
YES, https://registry.elevategreece.gov.gr/company/alexandra-christou-monoprosopi-ike/
YES, https://registry.elevategreece.gov.gr/company/allcancode-inc/
NO, https://registry.elevategreece.gov.gr/company/alongroute-data-ike/
NO, https://registry.elevategreece.gov.gr/company/althexis-pc/
YES, https://registry.elevategreece.gov.gr/company/altosight-ike/
YES, https://registry.elevategreece.gov.gr/company/alumni-reach-private-company/
NO, https://registry.elevategreece.gov.gr/company/alvion-pharmaceuticals-single-member-pc/
NO, https://registry.elevategreece.gov.gr/company/amen-new-technologies-ike/
YES, https://registry.elevategreece.gov.gr/company/anacalypsis-therapeutics-pc/
YES, https://registry.elevategreece.gov.gr/company/anelixis-pc/
YES, https://registry.elevategreece.gov.gr/company/anelysis-pcc/
NO, https://registry.elevategreece.gov.gr/company/aphetor-υποκαταστημα-αλλοδαπης-επε/
NO, https://registry.elevategreece.gov.gr/company/apifon-sa/
NO, https://registry.elevategreece.gov.gr/company/apiron-hellas-single-member-pc/
YES, https://registry.elevategreece.gov.gr/company/aquatic-biologicals-sa/
YES, https://registry.elevategreece.gov.gr/company/argo-semiconductors-societe-anonyme/
YES, https://registry.elevategreece.gov.gr/company/argo-technologies-smpc/
YES, https://registry.elevategreece.gov.gr/company/armoni-upatras-pc/
NO, https://registry.elevategreece.gov.gr/company/artificial-intelligence-software-pc-λογισμικο-τεχνιτης-νοημοσυνης-ικε/
YES, https://registry.elevategreece.gov.gr/company/artificial-reef-innovative-applications/
YES, https://registry.elevategreece.gov.gr/company/asklepieia-health-cluster-αε/
YES, https://registry.elevategreece.gov.gr/company/athletopia-seamx/
YES, https://registry.elevategreece.gov.gr/company/athroa-innovations/
YES, https://registry.elevategreece.gov.gr/company/augmenta-agriculture-technologies-single-member-private-company/
YES, https://registry.elevategreece.gov.gr/company/autoduder/
YES, https://registry.elevategreece.gov.gr/company/aviatec--aviation-training-center-sa/
NO, https://registry.elevategreece.gov.gr/company/b2b-wave-ltd-υποκαταστημα-ελλαδος/
YES, https://registry.elevategreece.gov.gr/company/babylongardens-green-deal-ike/
YES, https://registry.elevategreece.gov.gr/company/baggagement/
NO, https://registry.elevategreece.gov.gr/company/bd-inventions-μονοπροσωπη-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/be-a-greek-ike/
YES, https://registry.elevategreece.gov.gr/company/beelive-health-pc/
YES, https://registry.elevategreece.gov.gr/company/beenotes-plus-private-company/
YES, https://registry.elevategreece.gov.gr/company/bel-software-ike/
YES, https://registry.elevategreece.gov.gr/company/bespot/
YES, https://registry.elevategreece.gov.gr/company/bflex-single-member-pc/
YES, https://registry.elevategreece.gov.gr/company/bibe-coffee-limited-greek-branch/
NO, https://registry.elevategreece.gov.gr/company/bid2board-pc/
YES, https://registry.elevategreece.gov.gr/company/billys/
NO, https://registry.elevategreece.gov.gr/company/biobased-energy-technologies-pc/
YES, https://registry.elevategreece.gov.gr/company/bioassist/
NO, https://registry.elevategreece.gov.gr/company/bioaxis-healthcare-southeast-europe-sa/
YES, https://registry.elevategreece.gov.gr/company/biocos-ike/
YES, https://registry.elevategreece.gov.gr/company/bioemission-technology-solutions-ike/
NO, https://registry.elevategreece.gov.gr/company/biomimetic-private-company/
YES, https://registry.elevategreece.gov.gr/company/biopix-dna-technology-ike/
YES, https://registry.elevategreece.gov.gr/company/bitloops/
NO, https://registry.elevategreece.gov.gr/company/bitrezus-ike/
YES, https://registry.elevategreece.gov.gr/company/bl-nanobiomed-private-company/
YES, https://registry.elevategreece.gov.gr/company/blocktech-private-company/
YES, https://registry.elevategreece.gov.gr/company/blue-avatars-μονοπρόσωπη-ike/
NO, https://registry.elevategreece.gov.gr/company/bluecycle-pc/
YES, https://registry.elevategreece.gov.gr/company/bluevision-private-company/
YES, https://registry.elevategreece.gov.gr/company/bolt-virtual/
NO, https://registry.elevategreece.gov.gr/company/booking-clinic-research-ικε/
YES, https://registry.elevategreece.gov.gr/company/booms-ike/
YES, https://registry.elevategreece.gov.gr/company/boothic-smpc/
NO, https://registry.elevategreece.gov.gr/company/brainy-διαδικτυακη-εκπαιδευτικη-πλατφορμα-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/bryq--idalto-hellas-μικε/
YES, https://registry.elevategreece.gov.gr/company/buildinghow-team/
YES, https://registry.elevategreece.gov.gr/company/butlair-electronic-communication-and-advertising-services/
YES, https://registry.elevategreece.gov.gr/company/buy-the-mile-sa/
NO, https://registry.elevategreece.gov.gr/company/cjob-athens-smpc/
YES, https://registry.elevategreece.gov.gr/company/campsaround/
NO, https://registry.elevategreece.gov.gr/company/captain-coach-pc/
NO, https://registry.elevategreece.gov.gr/company/startup/
YES, https://registry.elevategreece.gov.gr/company/cardiomed-europe-pc/
YES, https://registry.elevategreece.gov.gr/company/carge--a-ppc-group-company/
NO, https://registry.elevategreece.gov.gr/company/cargoshare-pc/
NO, https://registry.elevategreece.gov.gr/company/centaur-technologies-pc/
YES, https://registry.elevategreece.gov.gr/company/cgworks-idiotikh-kefalaioyxikh-etaireia/
YES, https://registry.elevategreece.gov.gr/company/cibos-innovation/
YES, https://registry.elevategreece.gov.gr/company/cinobo/
YES, https://registry.elevategreece.gov.gr/company/circuits-integrated-hellas-ike/
NO, https://registry.elevategreece.gov.gr/company/citycrop-automated-indoor-farming-pc/
NO, https://registry.elevategreece.gov.gr/company/clicktotherapy-ike/
YES, https://registry.elevategreece.gov.gr/company/clio-muse-tours/
NO, https://registry.elevategreece.gov.gr/company/cloudeo-hellas-pc/
YES, https://registry.elevategreece.gov.gr/company/cloudpharm-private-company/
YES, https://registry.elevategreece.gov.gr/company/cocoon-modules-pc/
YES, https://registry.elevategreece.gov.gr/company/code-bgp/
YES, https://registry.elevategreece.gov.gr/company/code4thought-ike/
YES, https://registry.elevategreece.gov.gr/company/codebender-rd-hellas/
YES, https://registry.elevategreece.gov.gr/company/codefunnels-private-company/
NO, https://registry.elevategreece.gov.gr/company/coffeeco/
NO, https://registry.elevategreece.gov.gr/company/cogninn/
YES, https://registry.elevategreece.gov.gr/company/cognitiv/
YES, https://registry.elevategreece.gov.gr/company/cognito-ike/
YES, https://registry.elevategreece.gov.gr/company/cold-brew-innovations-pc/
YES, https://registry.elevategreece.gov.gr/company/collaborate-healthcare/
YES, https://registry.elevategreece.gov.gr/company/collegelink-ike/
YES, https://registry.elevategreece.gov.gr/company/cometogether-pc/
YES, https://registry.elevategreece.gov.gr/company/comparegreece-ασφαλιστικός-πράκτορας-μον-ικε-pricefox/
YES, https://registry.elevategreece.gov.gr/company/competence-center-i4bydesign-private-company/
YES, https://registry.elevategreece.gov.gr/company/competence-centre-for-a-sustainable-and-resilient-built-environment/
NO, https://registry.elevategreece.gov.gr/company/consultinn-single-member-private-company/
YES, https://registry.elevategreece.gov.gr/company/contactpigeon/
YES, https://registry.elevategreece.gov.gr/company/convert-group/
YES, https://registry.elevategreece.gov.gr/company/cordella/
YES, https://registry.elevategreece.gov.gr/company/costa-nostrum-certification/
NO, https://registry.elevategreece.gov.gr/company/covariance-pc/
YES, https://registry.elevategreece.gov.gr/company/cseanav-νέα-πραγματικότητα-ναυσιπλοΐας-ικε/
YES, https://registry.elevategreece.gov.gr/company/cube-rm-ικε/
YES, https://registry.elevategreece.gov.gr/company/curecancer/
NO, https://registry.elevategreece.gov.gr/company/cyclefi-pc/
YES, https://registry.elevategreece.gov.gr/company/cyclopt/
YES, https://registry.elevategreece.gov.gr/company/cyrus-pc/
NO, https://registry.elevategreece.gov.gr/company/dcube-pc/
NO, https://registry.elevategreece.gov.gr/company/dailycouriergr/
NO, https://registry.elevategreece.gov.gr/company/data-bloo-pc/
NO, https://registry.elevategreece.gov.gr/company/dataphoria-pc/
YES, https://registry.elevategreece.gov.gr/company/dataviva-greece/
YES, https://registry.elevategreece.gov.gr/company/dblabs-μονοπροσωπη-ικε/
YES, https://registry.elevategreece.gov.gr/company/deeplab-ike/
YES, https://registry.elevategreece.gov.gr/company/deepmed-io-ltd/
YES, https://registry.elevategreece.gov.gr/company/deepsea-technologies/
NO, https://registry.elevategreece.gov.gr/company/deeptraffic--traffic-and-mobility-management-technologies-pc/
NO, https://registry.elevategreece.gov.gr/company/deliberative-technologies-pc/
YES, https://registry.elevategreece.gov.gr/company/deliverback-ike/
YES, https://registry.elevategreece.gov.gr/company/deliverwow/
YES, https://registry.elevategreece.gov.gr/company/delivery-fleet/
NO, https://registry.elevategreece.gov.gr/company/delivery-galaxy-pc/
NO, https://registry.elevategreece.gov.gr/company/delivery-manager-pc/
YES, https://registry.elevategreece.gov.gr/company/delma-ike/
YES, https://registry.elevategreece.gov.gr/company/depia-automations/
YES, https://registry.elevategreece.gov.gr/company/deus-ex-machina/
NO, https://registry.elevategreece.gov.gr/company/deva-group-pc/
YES, https://registry.elevategreece.gov.gr/company/dialectica/
NO, https://registry.elevategreece.gov.gr/company/dibin-single-member-private-capital-company/
NO, https://registry.elevategreece.gov.gr/company/differend-business-solutions--ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/digihart/
NO, https://registry.elevategreece.gov.gr/company/digisec-sa/
YES, https://registry.elevategreece.gov.gr/company/digital-commerce-intelligence-pte-ltd/
YES, https://registry.elevategreece.gov.gr/company/digital-culture-monuments-dcm-ike/
YES, https://registry.elevategreece.gov.gr/company/dna-sequence-srl-hellas/
YES, https://registry.elevategreece.gov.gr/company/do-it-for-me-ike/
YES, https://registry.elevategreece.gov.gr/company/docandu/
NO, https://registry.elevategreece.gov.gr/company/doctor-near-you-μονοπροσωπη-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/doctornext2me/
YES, https://registry.elevategreece.gov.gr/company/domx-ικε/
YES, https://registry.elevategreece.gov.gr/company/douleutaras-com-limited-greek-branch/
YES, https://registry.elevategreece.gov.gr/company/dplan-ike/
NO, https://registry.elevategreece.gov.gr/company/drasys-bio-pc/
YES, https://registry.elevategreece.gov.gr/company/dreadbox/
YES, https://registry.elevategreece.gov.gr/company/dry-cleaning-delivery-pc/
YES, https://registry.elevategreece.gov.gr/company/drybulkx/
YES, https://registry.elevategreece.gov.gr/company/ds--innovative-applications--services-private-company/
YES, https://registry.elevategreece.gov.gr/company/dynasoft/
NO, https://registry.elevategreece.gov.gr/company/ecleaning/
NO, https://registry.elevategreece.gov.gr/company/efreshgr-smpc/
NO, https://registry.elevategreece.gov.gr/company/esatisfaction-sa/
YES, https://registry.elevategreece.gov.gr/company/ecoresources-private-company/
NO, https://registry.elevategreece.gov.gr/company/ecredit-pc/
YES, https://registry.elevategreece.gov.gr/company/edencore-technologies-private-company/
YES, https://registry.elevategreece.gov.gr/company/edutailors/
YES, https://registry.elevategreece.gov.gr/company/eftase-ike/
NO, https://registry.elevategreece.gov.gr/company/eight-bells-ltd-υποκαταστημα-ελλαδας-greek-branch/
YES, https://registry.elevategreece.gov.gr/company/embneusys-pc/
NO, https://registry.elevategreece.gov.gr/company/emc-pc-μαγικες-διαδρομες-ηπειρου-ικε/
YES, https://registry.elevategreece.gov.gr/company/emdot-μονοπροσωπη-ανωνυμη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/emphasis-digiworld-sa/
NO, https://registry.elevategreece.gov.gr/company/emt-technologies-pc/
YES, https://registry.elevategreece.gov.gr/company/enalos-rd/
NO, https://registry.elevategreece.gov.gr/company/enchatted-ike/
NO, https://registry.elevategreece.gov.gr/company/energy-consulting--applications-pc-enerca/
NO, https://registry.elevategreece.gov.gr/company/startup/
YES, https://registry.elevategreece.gov.gr/company/enforge-pc/
NO, https://registry.elevategreece.gov.gr/company/engineers-for-business-sa/
YES, https://registry.elevategreece.gov.gr/company/enginius-ike/
YES, https://registry.elevategreece.gov.gr/company/enios-applications-pc/
YES, https://registry.elevategreece.gov.gr/company/enneas-ike/
YES, https://registry.elevategreece.gov.gr/company/entelechy/
YES, https://registry.elevategreece.gov.gr/company/envy-softworks/
YES, https://registry.elevategreece.gov.gr/company/enzyceuticals-ike/
YES, https://registry.elevategreece.gov.gr/company/enzyquest-pc/
NO, https://registry.elevategreece.gov.gr/company/epoptia-ike/
YES, https://registry.elevategreece.gov.gr/company/estate-brains/
YES, https://registry.elevategreece.gov.gr/company/eummena-ike/
YES, https://registry.elevategreece.gov.gr/company/european-publishing/
YES, https://registry.elevategreece.gov.gr/company/ev-loader/
YES, https://registry.elevategreece.gov.gr/company/ev-plus/
YES, https://registry.elevategreece.gov.gr/company/evo-human-performance/
YES, https://registry.elevategreece.gov.gr/company/exandia/
NO, https://registry.elevategreece.gov.gr/company/exascale-performance-systems--exapsys-pc/
NO, https://registry.elevategreece.gov.gr/company/exm-pc/
YES, https://registry.elevategreece.gov.gr/company/expersolo-μονοπροσωπη-ικε/
YES, https://registry.elevategreece.gov.gr/company/expertise-ικε/
NO, https://registry.elevategreece.gov.gr/company/extratech-analytical-solutions-smpc--ελευθερια-ψυλλακη-μονοπροσωπη-ικε/
NO, https://registry.elevategreece.gov.gr/company/eyepcr-bv/
YES, https://registry.elevategreece.gov.gr/company/fairlo/
YES, https://registry.elevategreece.gov.gr/company/fantasy-sports-interactive-hellas-limited/
NO, https://registry.elevategreece.gov.gr/company/farmb--digital-agriculture-sa/
NO, https://registry.elevategreece.gov.gr/company/feac-engineering-pc/
NO, https://registry.elevategreece.gov.gr/company/feel-therapeutics-fka-sentio-solutions/
NO, https://registry.elevategreece.gov.gr/company/feron-technologies-pc/
YES, https://registry.elevategreece.gov.gr/company/ferryhopper/
YES, https://registry.elevategreece.gov.gr/company/ferryscanner-μονοπρόσωπη-ike/
YES, https://registry.elevategreece.gov.gr/company/fertilai/
YES, https://registry.elevategreece.gov.gr/company/ferto/
YES, https://registry.elevategreece.gov.gr/company/fieldscale-ike/
YES, https://registry.elevategreece.gov.gr/company/filintoglou-kyriakos-plc--henanotec/
YES, https://registry.elevategreece.gov.gr/company/finclude/
YES, https://registry.elevategreece.gov.gr/company/finloup/
YES, https://registry.elevategreece.gov.gr/company/fitness-meals/
NO, https://registry.elevategreece.gov.gr/company/flexcar-εκμισθωση-και-πωληση-οχηματων-μονοπροσωπη-ανωνυμη-εταιρεια/
NO, https://registry.elevategreece.gov.gr/company/flexfin-μονοπρόσωπη-ανώνυμη-εταιρεία-πρακτορείας-επιχειρηματικών-απαιτήσεων/
YES, https://registry.elevategreece.gov.gr/company/fliip-ike/
YES, https://registry.elevategreece.gov.gr/company/flyee-private-company/
YES, https://registry.elevategreece.gov.gr/company/fogus-innovations--services-ike/
NO, https://registry.elevategreece.gov.gr/company/foodoxys-pc-spinoff/
YES, https://registry.elevategreece.gov.gr/company/four-sectors-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/fraud-line-whistleblowing-services/
YES, https://registry.elevategreece.gov.gr/company/frescon-tehnologies/
YES, https://registry.elevategreece.gov.gr/company/fuelics-ικε/
YES, https://registry.elevategreece.gov.gr/company/fund4all/
YES, https://registry.elevategreece.gov.gr/company/futurre-capital-investors-ανωνυμη-εταιρεια/
NO, https://registry.elevategreece.gov.gr/company/gdrill-ικε/
YES, https://registry.elevategreece.gov.gr/company/gaia-robotics-ike/
YES, https://registry.elevategreece.gov.gr/company/gaming-brotherhood/
YES, https://registry.elevategreece.gov.gr/company/generation-y-international-e-bussiness-experts-ικε/
YES, https://registry.elevategreece.gov.gr/company/genome-analysis-ike/
NO, https://registry.elevategreece.gov.gr/company/geobit-pc/
YES, https://registry.elevategreece.gov.gr/company/geoinformatics-ike/
YES, https://registry.elevategreece.gov.gr/company/geomiso-single-member-private-company/
YES, https://registry.elevategreece.gov.gr/company/gerobo-international/
YES, https://registry.elevategreece.gov.gr/company/get2work-mon-ike/
YES, https://registry.elevategreece.gov.gr/company/gizelis-robotics-sa/
YES, https://registry.elevategreece.gov.gr/company/globyworks-ventures-pc/
YES, https://registry.elevategreece.gov.gr/company/gnosis-assessment-hellas-sa/
YES, https://registry.elevategreece.gov.gr/company/goodfairy-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/got-it-technologies/
YES, https://registry.elevategreece.gov.gr/company/grabi-smart-solutions-ike/
YES, https://registry.elevategreece.gov.gr/company/grandmama-sa/
NO, https://registry.elevategreece.gov.gr/company/grapevine-digital-sa/
NO, https://registry.elevategreece.gov.gr/company/grecian-living/
YES, https://registry.elevategreece.gov.gr/company/greciot-private-company/
YES, https://registry.elevategreece.gov.gr/company/greeking-me/
YES, https://registry.elevategreece.gov.gr/company/green-and-go-pc/
NO, https://registry.elevategreece.gov.gr/company/green-highlight-μον-ike/
YES, https://registry.elevategreece.gov.gr/company/green-innovation--vehicle-engineering-mon-ike/
NO, https://registry.elevategreece.gov.gr/company/green-panda-μονοπροσωπη-ικε/
NO, https://registry.elevategreece.gov.gr/company/greencityparking-pc/
YES, https://registry.elevategreece.gov.gr/company/greener-than-green-technologies-ae/
NO, https://registry.elevategreece.gov.gr/company/grekaddictcom/
YES, https://registry.elevategreece.gov.gr/company/groupnow-singleperson-pc/
YES, https://registry.elevategreece.gov.gr/company/guardian-telematics-sa/
NO, https://registry.elevategreece.gov.gr/company/gx-blocks-energy-sa/
YES, https://registry.elevategreece.gov.gr/company/hack-the-box-single-member-private-company/
NO, https://registry.elevategreece.gov.gr/company/hellakmon-environmentalenergy-private-company/
YES, https://registry.elevategreece.gov.gr/company/hellenic-development-and-testing-electronics-pc/
NO, https://registry.elevategreece.gov.gr/company/hellenic-drones-sa/
YES, https://registry.elevategreece.gov.gr/company/hellenic-instruments/
YES, https://registry.elevategreece.gov.gr/company/helvia-technologies-ike/
YES, https://registry.elevategreece.gov.gr/company/herado/
YES, https://registry.elevategreece.gov.gr/company/hermes-healthcare-greece/
YES, https://registry.elevategreece.gov.gr/company/hidden-digital-ike/
NO, https://registry.elevategreece.gov.gr/company/hlectron-ηλεκτρον-ικε/
YES, https://registry.elevategreece.gov.gr/company/holistic/
YES, https://registry.elevategreece.gov.gr/company/home-automation-and-more-private-company/
YES, https://registry.elevategreece.gov.gr/company/home-inspection-single-member-pc/
YES, https://registry.elevategreece.gov.gr/company/homexpress/
YES, https://registry.elevategreece.gov.gr/company/homi/
NO, https://registry.elevategreece.gov.gr/company/hoolie-foundation-brokers--software-development-pc/
YES, https://registry.elevategreece.gov.gr/company/hosthub-inc/
YES, https://registry.elevategreece.gov.gr/company/hotellisense-ike/
NO, https://registry.elevategreece.gov.gr/company/startup/
YES, https://registry.elevategreece.gov.gr/company/hourbus/
NO, https://registry.elevategreece.gov.gr/company/hygieia-pc/
YES, https://registry.elevategreece.gov.gr/company/icomat-limited/
NO, https://registry.elevategreece.gov.gr/company/ideas-forward-pc/
NO, https://registry.elevategreece.gov.gr/company/idna-genomics-ike/
YES, https://registry.elevategreece.gov.gr/company/ikorganic-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/imagic-new-media-studio/
YES, https://registry.elevategreece.gov.gr/company/imagine-and-see-ike/
YES, https://registry.elevategreece.gov.gr/company/immune-recognition-private-capital-company/
NO, https://registry.elevategreece.gov.gr/company/inmatlab-smpc/
YES, https://registry.elevategreece.gov.gr/company/inaccel/
NO, https://registry.elevategreece.gov.gr/company/inagros-ike/
YES, https://registry.elevategreece.gov.gr/company/incotech-μονοπροσωπη-επε/
NO, https://registry.elevategreece.gov.gr/company/industry-4-for-energy-pc/
YES, https://registry.elevategreece.gov.gr/company/infalia-private-company/
YES, https://registry.elevategreece.gov.gr/company/infili-technologies-sa/
YES, https://registry.elevategreece.gov.gr/company/infin8-applications-pc/
YES, https://registry.elevategreece.gov.gr/company/infiniti-platforms-greece-ltd/
YES, https://registry.elevategreece.gov.gr/company/innopolium-pc/
YES, https://registry.elevategreece.gov.gr/company/innovative-energy-materials-technologies/
YES, https://registry.elevategreece.gov.gr/company/innovative-medical-research-ιατρικη-ανωνυμη-εταιρεια/
NO, https://registry.elevategreece.gov.gr/company/innovative-research-applications-pc-innora/
YES, https://registry.elevategreece.gov.gr/company/innovitech-ike/
NO, https://registry.elevategreece.gov.gr/company/insiders-travel-experiences/
NO, https://registry.elevategreece.gov.gr/company/insighio-pc/
YES, https://registry.elevategreece.gov.gr/company/instacar/
YES, https://registry.elevategreece.gov.gr/company/intelen-hellas-monoprosopi-ike/
YES, https://registry.elevategreece.gov.gr/company/inteligg-private-company/
YES, https://registry.elevategreece.gov.gr/company/intelistyle-ltd/
YES, https://registry.elevategreece.gov.gr/company/intelligencia/
YES, https://registry.elevategreece.gov.gr/company/intelship-monoprosopi-idiotiki-kefalaiouxiki-etairia/
YES, https://registry.elevategreece.gov.gr/company/intermedical-nanodiagnostics-laboratories-ike/
YES, https://registry.elevategreece.gov.gr/company/intoolab/
NO, https://registry.elevategreece.gov.gr/company/ionos-smpc/
YES, https://registry.elevategreece.gov.gr/company/iqtaxi-inc/
YES, https://registry.elevategreece.gov.gr/company/iscout-pco/
YES, https://registry.elevategreece.gov.gr/company/ismood-data-technology-services-ike/
YES, https://registry.elevategreece.gov.gr/company/it-economic-systems/
YES, https://registry.elevategreece.gov.gr/company/it-good-news-services-ιδιωτικη-κεφαλαιουχικη-εταιρεια/
YES, https://registry.elevategreece.gov.gr/company/itrack-services-ltd/
NO, https://registry.elevategreece.gov.gr/company/jadbio--gnosis-da-αε/
YES, https://registry.elevategreece.gov.gr/company/jobsbnb-ike/
YES, https://registry.elevategreece.gov.gr/company/joule-ανώνυμη-εταιρεία/
YES, https://registry.elevategreece.gov.gr/company/joyllama-ike/
YES, https://registry.elevategreece.gov.gr/company/kardiatec-sa/
NO, https://registry.elevategreece.gov.gr/company/kavousi-ali-mike--product-thelist-app/
YES, https://registry.elevategreece.gov.gr/company/kenotom-ike/
